date_mvt,nb_sales,total_revenues
2015-09-07 00:00:00.000000 UTC,271,7144.1
2015-09-08 00:00:00.000000 UTC,202,8337.630000000001
2015-09-09 00:00:00.000000 UTC,264,5388.96
2015-09-10 00:00:00.000000 UTC,197,6341.9600000000009
2015-09-11 00:00:00.000000 UTC,209,9064.33
2015-09-12 00:00:00.000000 UTC,86,1270.12
2015-09-14 00:00:00.000000 UTC,238,6493.9900000000007
2015-09-15 00:00:00.000000 UTC,192,3922.79
2015-09-16 00:00:00.000000 UTC,350,9161.5600000000013
2015-09-17 00:00:00.000000 UTC,154,4263.32
2015-09-18 00:00:00.000000 UTC,507,9948.02
2015-09-19 00:00:00.000000 UTC,76,2372.0299999999997
2015-09-21 00:00:00.000000 UTC,237,7147.02
2015-09-22 00:00:00.000000 UTC,190,6889.8
2015-09-23 00:00:00.000000 UTC,226,5814.36
2015-09-24 00:00:00.000000 UTC,237,7176.6799999999994
2015-09-25 00:00:00.000000 UTC,218,5844.1599999999989
2015-09-26 00:00:00.000000 UTC,163,2878.1800000000003
2015-09-28 00:00:00.000000 UTC,342,7870.18
2015-09-29 00:00:00.000000 UTC,292,10066.820000000002
2015-10-01 00:00:00.000000 UTC,245,8327.48
2015-10-02 00:00:00.000000 UTC,222,5959.59
2015-10-03 00:00:00.000000 UTC,82,1739.97
2015-10-05 00:00:00.000000 UTC,412,13162.329999999998
2015-10-06 00:00:00.000000 UTC,2506,48597.35000000002
2015-10-07 00:00:00.000000 UTC,221,7370.9400000000005
2015-10-08 00:00:00.000000 UTC,199,5651.99
2015-10-09 00:00:00.000000 UTC,496,15465.22
2015-10-10 00:00:00.000000 UTC,105,2878.21
2015-10-12 00:00:00.000000 UTC,188,6275.87
2015-10-13 00:00:00.000000 UTC,311,8171.2899999999991
2015-10-14 00:00:00.000000 UTC,285,10150.95
2015-10-15 00:00:00.000000 UTC,199,5265.5599999999995
2015-10-16 00:00:00.000000 UTC,264,11746.289999999999
2015-10-17 00:00:00.000000 UTC,108,3219.2599999999993
2015-10-19 00:00:00.000000 UTC,225,5412.4
2015-10-20 00:00:00.000000 UTC,250,7135.2500000000027
2015-10-21 00:00:00.000000 UTC,281,10543.349999999999
2015-10-22 00:00:00.000000 UTC,208,7309.4299999999994
2015-10-23 00:00:00.000000 UTC,247,6556.4599999999991
2015-10-24 00:00:00.000000 UTC,92,2582.97
2015-10-26 00:00:00.000000 UTC,214,7302.5300000000007
2015-10-27 00:00:00.000000 UTC,228,9045.2799999999988
2015-10-28 00:00:00.000000 UTC,149,3684.84
2015-10-29 00:00:00.000000 UTC,179,4543.77
2015-10-30 00:00:00.000000 UTC,275,8005.7900000000009
2015-10-31 00:00:00.000000 UTC,37,973.15
2015-11-02 00:00:00.000000 UTC,207,5191.9400000000014
2015-11-03 00:00:00.000000 UTC,289,6432.7900000000009
2015-11-04 00:00:00.000000 UTC,259,8830.6899999999987
2015-11-05 00:00:00.000000 UTC,178,4111.04
2015-11-06 00:00:00.000000 UTC,268,6172.0
2015-11-07 00:00:00.000000 UTC,85,3227.39
2015-11-09 00:00:00.000000 UTC,242,5824.0700000000006
2015-11-10 00:00:00.000000 UTC,271,8832.98
2015-11-12 00:00:00.000000 UTC,308,7674.3700000000008
2015-11-13 00:00:00.000000 UTC,247,7133.5500000000011
2015-11-14 00:00:00.000000 UTC,103,5539.3100000000013
2015-11-16 00:00:00.000000 UTC,225,5317.2900000000009
2015-11-17 00:00:00.000000 UTC,200,5380.32
2015-11-18 00:00:00.000000 UTC,174,5185.63
2015-11-19 00:00:00.000000 UTC,235,7902.91
2015-11-20 00:00:00.000000 UTC,164,4769.45
2015-11-21 00:00:00.000000 UTC,70,1509.92
2015-11-23 00:00:00.000000 UTC,345,8892.26
2015-11-24 00:00:00.000000 UTC,150,3887.63
2015-11-25 00:00:00.000000 UTC,369,12960.140000000001
2015-11-26 00:00:00.000000 UTC,158,4521.23
2015-11-27 00:00:00.000000 UTC,191,6827.01
2015-11-28 00:00:00.000000 UTC,177,4716.57
2015-11-30 00:00:00.000000 UTC,268,7512.9800000000005
2015-12-01 00:00:00.000000 UTC,298,7133.6
2015-12-02 00:00:00.000000 UTC,200,5192.6399999999994
2015-12-03 00:00:00.000000 UTC,237,9643.31
2015-12-04 00:00:00.000000 UTC,154,3806.14
2015-12-05 00:00:00.000000 UTC,58,1501.01
2015-12-07 00:00:00.000000 UTC,257,6211.0099999999984
2015-12-08 00:00:00.000000 UTC,272,8095.4299999999994
2015-12-09 00:00:00.000000 UTC,257,6594.43
2015-12-10 00:00:00.000000 UTC,163,5559.06
2015-12-11 00:00:00.000000 UTC,199,4521.83
2015-12-12 00:00:00.000000 UTC,171,4315.58
2015-12-14 00:00:00.000000 UTC,284,11806.059999999998
2015-12-15 00:00:00.000000 UTC,225,8025.3099999999995
2015-12-16 00:00:00.000000 UTC,209,8347.4000000000015
2015-12-17 00:00:00.000000 UTC,176,9437.8900000000012
2015-12-18 00:00:00.000000 UTC,129,3751.26
2015-12-19 00:00:00.000000 UTC,81,2436.4399999999996
2015-12-21 00:00:00.000000 UTC,179,5777.85
2015-12-22 00:00:00.000000 UTC,148,5337.67
2015-12-23 00:00:00.000000 UTC,297,9529.2
2015-12-24 00:00:00.000000 UTC,120,4643.48
2015-12-28 00:00:00.000000 UTC,180,4106.57
2015-12-29 00:00:00.000000 UTC,151,4538.2000000000007
2015-12-30 00:00:00.000000 UTC,180,4483.65
2015-12-31 00:00:00.000000 UTC,121,3608.0400000000004
2016-01-04 00:00:00.000000 UTC,170,3462.4999999999986
2016-01-05 00:00:00.000000 UTC,232,8692.51
2016-01-06 00:00:00.000000 UTC,166,5731.1500000000005
2016-01-07 00:00:00.000000 UTC,246,8979.3300000000017
2016-01-08 00:00:00.000000 UTC,199,10377.81
2016-01-09 00:00:00.000000 UTC,93,2262.61
2016-01-11 00:00:00.000000 UTC,226,6701.1399999999994
2016-01-12 00:00:00.000000 UTC,194,4772.130000000001
2016-01-13 00:00:00.000000 UTC,331,13756.029999999999
2016-01-14 00:00:00.000000 UTC,225,7812.8499999999995
2016-01-15 00:00:00.000000 UTC,148,4129.4000000000005
2016-01-16 00:00:00.000000 UTC,102,2394.7
2016-01-18 00:00:00.000000 UTC,221,6315.9599999999991
2016-01-19 00:00:00.000000 UTC,213,7138.7900000000009
2016-01-20 00:00:00.000000 UTC,196,4950.74
2016-01-21 00:00:00.000000 UTC,213,8093.3700000000008
2016-01-22 00:00:00.000000 UTC,336,12010.439999999999
2016-01-23 00:00:00.000000 UTC,52,1762.2999999999997
2016-01-25 00:00:00.000000 UTC,137,3955.2000000000003
2016-01-26 00:00:00.000000 UTC,234,7274.869999999999
2016-01-27 00:00:00.000000 UTC,276,6910.5899999999992
2016-01-28 00:00:00.000000 UTC,159,3915.56
2016-01-29 00:00:00.000000 UTC,182,5078.93
2016-01-30 00:00:00.000000 UTC,116,3062.5200000000004
2016-02-01 00:00:00.000000 UTC,374,8540.1999999999989
2016-02-02 00:00:00.000000 UTC,265,6206.67
2016-02-03 00:00:00.000000 UTC,227,6201.7000000000007
2016-02-04 00:00:00.000000 UTC,690,15663.789999999999
2016-02-05 00:00:00.000000 UTC,408,15414.199999999999
2016-02-06 00:00:00.000000 UTC,136,3520.0
2016-02-08 00:00:00.000000 UTC,200,4901.63
2016-02-09 00:00:00.000000 UTC,162,11158.779999999999
2016-02-10 00:00:00.000000 UTC,310,8217.5
2016-02-11 00:00:00.000000 UTC,214,5554.7400000000016
2016-02-12 00:00:00.000000 UTC,315,9455.5600000000031
2016-02-13 00:00:00.000000 UTC,135,3475.4799999999996
2016-02-15 00:00:00.000000 UTC,216,6608.3200000000015
2016-02-16 00:00:00.000000 UTC,249,6900.38
2016-02-17 00:00:00.000000 UTC,399,10139.75
2016-02-18 00:00:00.000000 UTC,218,7609.6799999999994
2016-02-19 00:00:00.000000 UTC,298,12174.579999999998
2016-02-20 00:00:00.000000 UTC,214,5862.1200000000008
2016-02-22 00:00:00.000000 UTC,400,9098.5699999999979
2016-02-23 00:00:00.000000 UTC,343,9873.8000000000011
2016-02-24 00:00:00.000000 UTC,322,8663.98
2016-02-25 00:00:00.000000 UTC,241,12653.26
2016-02-26 00:00:00.000000 UTC,250,7558.1200000000008
2016-02-27 00:00:00.000000 UTC,116,2829.4399999999996
2016-02-29 00:00:00.000000 UTC,198,12888.010000000002
2016-03-01 00:00:00.000000 UTC,288,8478.0600000000013
2016-03-02 00:00:00.000000 UTC,180,8390.880000000001
2016-03-03 00:00:00.000000 UTC,173,6002.8099999999995
2016-03-04 00:00:00.000000 UTC,310,6811.9999999999982
2016-03-05 00:00:00.000000 UTC,74,2937.0299999999997
2016-03-07 00:00:00.000000 UTC,145,5048.0700000000006
2016-03-08 00:00:00.000000 UTC,305,7359.1400000000012
2016-03-09 00:00:00.000000 UTC,481,11698.52
2016-03-10 00:00:00.000000 UTC,262,7428.91
2016-03-11 00:00:00.000000 UTC,259,10825.430000000002
2016-03-12 00:00:00.000000 UTC,152,4671.2899999999991
2016-03-14 00:00:00.000000 UTC,177,7453.09
2016-03-15 00:00:00.000000 UTC,350,8895.14
2016-03-16 00:00:00.000000 UTC,194,5091.27
2016-03-17 00:00:00.000000 UTC,133,3716.0200000000004
2016-03-18 00:00:00.000000 UTC,170,5196.9400000000005
2016-03-19 00:00:00.000000 UTC,138,3320.34
2016-03-21 00:00:00.000000 UTC,195,9101.27
2016-03-22 00:00:00.000000 UTC,165,5805.76
2016-03-23 00:00:00.000000 UTC,145,3893.12
2016-03-24 00:00:00.000000 UTC,137,4727.96
2016-03-25 00:00:00.000000 UTC,213,6735.52
2016-03-26 00:00:00.000000 UTC,97,2506.01
2016-03-29 00:00:00.000000 UTC,328,8956.05
2016-03-30 00:00:00.000000 UTC,190,5664.3599999999988
2016-03-31 00:00:00.000000 UTC,206,5006.0499999999993
2016-04-01 00:00:00.000000 UTC,380,9339.32
2016-04-02 00:00:00.000000 UTC,63,2874.0
2016-04-04 00:00:00.000000 UTC,309,9170.72
2016-04-05 00:00:00.000000 UTC,384,11402.99
2016-04-06 00:00:00.000000 UTC,360,6528.0
2016-04-07 00:00:00.000000 UTC,491,13949.970000000001
2016-04-08 00:00:00.000000 UTC,259,5890.71
2016-04-09 00:00:00.000000 UTC,68,2039.75
2016-04-11 00:00:00.000000 UTC,281,7901.3099999999995
2016-04-12 00:00:00.000000 UTC,211,6601.6099999999988
2016-04-13 00:00:00.000000 UTC,622,10802.020000000008
2016-04-14 00:00:00.000000 UTC,220,6479.1099999999988
2016-04-15 00:00:00.000000 UTC,239,5921.77
2016-04-16 00:00:00.000000 UTC,157,4029.3300000000004
2016-04-18 00:00:00.000000 UTC,148,4546.9000000000005
2016-04-19 00:00:00.000000 UTC,210,5850.9000000000005
2016-04-20 00:00:00.000000 UTC,338,10615.32
2016-04-21 00:00:00.000000 UTC,161,5341.2
2016-04-22 00:00:00.000000 UTC,184,5317.7800000000007
2016-04-23 00:00:00.000000 UTC,111,2934.73
2016-04-25 00:00:00.000000 UTC,194,6044.25
2016-04-26 00:00:00.000000 UTC,445,11970.75
2016-04-27 00:00:00.000000 UTC,244,6360.22
2016-04-28 00:00:00.000000 UTC,238,5325.7199999999993
